!Series_title	"Subcutaneous adipose gene expression from men in the METSIM cohort"
!Series_geo_accession	"GSE135134"
!Series_status	"Public on Jul 31 2019"
!Series_submission_date	"Jul 30 2019"
!Series_last_update_date	"May 26 2022"
!Series_pubmed_id	"32817962"
!Series_pubmed_id	"35589964"
!Series_summary	"We analyzed the abdominal subcutaneous adipose tissue of 434 male human subjects from the METSIM study, via RNA-sequencing. The METSIM study was approved by the Ethics Committee of the University of Eastern Finland and Kuopio University Hospital in Kuopio, Finland and carried out in accordance with the Helsinki Declaration. Written informed consent was obtained from all participants. Here, we provide the expression values by gene for each subject and relevant covariates. Raw fastq files will be contributed to dbGaP, as they require controlled access."
!Series_overall_design	"Subcutaneous adipose gene expression profiles, measured via RNAseq, for 434 men from the METSIM cohort"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Chelsea,K,Raulerson"
!Series_contributor	"Karen,L,Mohlke"
!Series_contributor	"Markku,,Laakso"
